Nombre,Precio
Portátil Vivobook Go 15 OLED | AMD Ryzen 5 | 16GB de RAM | 512GB SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | E1504FA-L1402W | Computador portátil,1999900.0
Portátil IdeaPad Slim 3 AMD Ryzen 7 16GB 512GB 15.6”,2069900.0
Portátil Ideapad Slim 3 | Intel Core i5 Serie H | 16GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas Touch | IP Slim 3 | Computador Portátil,2049900.0
Portátil Pavilion x360 2 en 1 | Intel Core i5 | 8GB RAM | 512GB SSD Almacenamiento| Windows 11 | Pantalla Táctil de 14 pulgadas | 14-ek0008la | Computador portátil,1999000.0
"Portátil Vivobook Go E1504GA-NJ103 Intel Core i3 Ram 8 GB Ssd 512 GB Pantalla 15,6″",1149900.0
"PORTATIL HP VICTUS 15-FB0134LA RYZEN 5 5600H RAM 8GB DDR4 512GB SSD PAN 15,6"" FHD GTX 1650 4GB",2099900.0
Portátil Intel Core i5 16GB 1TB IdeaPad Slim 5 16” Gris,2239900.0
Portátil Yoga 9 2 en 1 Core Ultra 7 32GB 1TB 14”,7649900.0
"Portátil Inspiron 3520 Intel Core I7 1255U Ram 32 SSD 512GB 15,6"" FHD 120Mhz",2349900.0
Portatil Ryzen 7 5700u Ram 20gb Ssd 512gb Fhd Ideapad 3,1829000.0
Portátil | AMD Ryzen¿ 5 | 16GB RAM | 512GB SSD Almacenamiento | Windows 11 | 14 pulgadas | 14-em0021la | Computador portátil,1799000.0
Portátil Gamer LOQ | Geforce RTX 3050 | Intel Core i5 Serie HX | 24GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 16 pulgadas | LOQ | Computador Portátil,3599900.0
"Portatil 240 G9 Intel Celeron 8GB - 256GB - 14"" HD",879000.0
"Portátil Inspiron 3520 Intel Core I7 1255U Ram 32 SSD 512GB 15,6"" FHD 120Mhz",2349900.0
Portátil Ideapad Slim 3 | Intel Core i5 Serie H | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 14 pulgadas | IP Slim 3 | Computador Portátil,1699900.0
PORTATIL INTEL CORE i5-13420H SSD 1TB RAM 24GB LED 14 FHD,1979900.0
Portátil Ideapad Slim 3 | Intel Core i3 | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | IP Slim 3 | Computador Portátil,1399900.0
"Portatil Ultrabook Core i5 1235U - Ram 16Gb DDR5 - SSD 512GB - Win 11 - 14"" FHD",1879900.0
PORTATIL VIVOBOOK INTEL CORE I7-12700H SSD 1TB RAM 40GB LED 16 FULL HD,2949900.0
Portátil IdeaPad Pro 5 Core Ultra 7 32GB 1TB 16”,5249900.0
Portátil Pavilion | AMD Ryzen 7 | 8GB RAM | 512GB SSD Almacenamiento| Windows 11 | 15.6 pulgadas | 15-eh3004la| Computador portátil,2249000.0
"Portátil Celeron N4020 RAM 8 GB DISCO 512 SSD 14"" NEGRO.",789900.0
PORTATIL VIVOBOOK INTEL CORE I7-12700H SSD 1TB RAM 24GB LED 16 FULL HD,2849900.0
"PORTATIL INSPIRON 15 INTEL CORE I5-1235U SSD 1TB RAM 32GB LED 15,6 FHD",2079900.0
Portátil TUF Gaming A15 | GeForce RTX 4050 | AMD Ryzen 7 | 16GB de RAM | 512G SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | FA507NUR-LP016W | Computador portátil Gamer,4899000.0
Portátil Zenbook 14 OLED | AMD Ryzen 7 | 16GB de RAM | 1TB SSD de almacenamiento | Windows 11 |14 Pulgadas | UM3406HA-QD107W | Computador portátil,4599900.0
"PORTATIL INTEL CORE I5-12450H SSD 512GB RAM 16GB LED 15,6 FULL HD",1899900.0
Portátil + Accesorio | AMD Ryzen 5 | 8GB RAM | 512GB SSD Almacenamiento | Windows 11 | 15.6 pulgadas | 15-fc0008la | Computador Portátil,1899000.0
"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 16GB LED 15,6 FHD",2419300.0
"PORTATIL 3 14ALC6 AMD RYZEN 7 5700U 20GB DDR4 512GB SSD PAN 14"" FHD",1883999.0
"Portátil Core i9 12900H Ram 32 Disco 1 Tb SSD 15,6 FHD Win 11 Pro.",2499900.0
"Portátil Expertbook B1402CVA-NK2263 Ci7-1355U DDR4 16GB, 512GB, 14"" Win 11 PRO",2599900.0
"Portatil Inspirion 3535 AMD Ryzen 5 7520U Ram 8GB Ssd 512GB 15.6"" FHD computador portatil",1449900.0
Portátil Zenbook Duo OLED | Intel Core Ultra 9 | 32GB de RAM | 1TB SSD de almacenamiento | Windows 11 | 14 pulgadas | UX8406MA-PZ026W | Computador portátil,9999900.0
"PORTATIL INTEL CORE I5-1235U SSD 1TB RAM 24GB LED 15,6 FULL FHD",2199900.0
PORTATIL 14 DQ5012LA INTEL CORE I3 1215U 8GB DDR4 512GB SSD PAN 14 HD NATURAL SILVER 8W382LAABM,1219900.0
Portátil Ideapad Slim 3 | AMD Ryzen 5 | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | IP Slim 3 | Computador Portátil,1699900.0
Portátil LENOVO FHD 156 Intel N4020 RAM 8GB 256GB SSD Silver,1012850.0
PORTATIL INTEL CORE I9-13900H SSD 1TB RAM 40GB LED 16 FULL HD,4339900.0
"PORTÁTIL AL14-31P-C0S2 INTEL N100 - 8GB LPDDR5 - 256GB SSD - PANT14"" HD - WINDOWS 11 - SILVER",899900.0
Computador Portatil Galaxy Intel Core I7 11600h Mem 8gb + Ssd 1tb Rtx 3050,5439934.0
Portatil Gamer Bravo AMD Ryzen 9-7940HS RAM 64GB SSD 1TB RTX 4060 8GB,7159900.0
PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 16 FULL HD,3209900.0
Portátil IdeaPad 5 2 en 1 AMD Ryzen 5 16GB 512GB 14”,3049900.0
"G15 INTEL CORE I7-13650HX RTX 4060 8GB SSD 1TB RAM 40GB LED 15,6"" FHD 120Hz",6279900.0
"PORTATIL X1605VA-MB575 - INTEL CORE I9 13900H - 16GB DDR4 - 1 TERA SSD - 16,0"" WUXGA",3869999.0
Portátil Zenbook S 16 OLED | AMD Ryzen AI 9 | 32GB de RAM | 1TB SSD de almacenamiento | Windows 11 |16 Pulgadas | UM5606WA-RJ247W | Computador portátil,8499900.0
"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 40GB LED 15,6 FHD",2980900.0
Portátil ThinkPad E14 Gen 6 Core Ultra 7 16GB 512GB - Negro,5349900.0
"Portatil TUF Gaming A15 Ryzen 5 7535hs 8gb ram 512Gb ssd RTX 2050 pantalla 15,6"" FHD 144hz",2694020.0
"INSPIRON 15 INTEL CORE I7-1255U SSD 2TB RAM 40GB LED 15,6"" FHD",3443200.0
"PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 15,6 FHD",3356900.0
Portátil Zenbook 14 OLED | Intel Core Ultra 5 | 16GB de RAM | 512GB SSD de almacenamiento | Windows 11 |14 Pulgadas | UX3405MA-PP550W | Computador portátil,4199900.0
Portátil OMEN Transcend | Intel Core Ultra 9 | 32GB RAM | 2TB SSD Almacenamiento| Windows 11 | 14 pulgadas | 14-fb0004la| Computador portátil | NVIDIA GeForce RTX 4070,11999000.0
"LOQ AMD RYZEN 7-7435HS RTX 4050 6GB SSD 1TB RAM 24GB LED 15,6"" FHD",4703020.0
Portátil Intel Core i7 1255U 20GB 1TB HD 15.6 Win 11,2559000.0
PORTATIL M3504YA RYZEN 7 7730U 16gb 1TB 16 IPS VIVOBOOK,2559000.0
14-DQ5110LA CORE I3 1215U 8GB SSD 256GB 14 HD.,1189000.0
Portátil Gamer G5535 Ryzen7 7840hs Ram32GB SSD512GB RTX4050 15.6 Win 11,5349900.0
